year,species_code,length,males,females,unsexed,total
2002,10110,230,17569.05276774966,0,0,17569.05276774966
2002,10110,240,0,12342.052411507044,0,12342.052411507044
2002,10110,250,5585.832490845607,16398.66533793383,0,21984.49782877944
2002,10110,260,0,5585.832490845607,0,5585.832490845607
2002,10110,270,30568.682195595342,12519.51070036768,0,43088.19289596302
2002,10110,280,0,39528.382945519996,0,39528.382945519996
2002,10110,290,5585.832490845607,58938.38699554152,0,64524.21948638713
2002,10110,300,27211.498185022057,80948.05247533007,0,108159.55066035212
2002,10110,310,32315.01452420215,117425.58593805625,0,149740.60046225842
2002,10110,320,108317.4203788819,120069.94554497169,0,228387.3659238536
2002,10110,330,81521.2766824475,159596.73377012165,0,241118.0104525691
2002,10110,340,72607.15158309882,264766.14004209783,0,337373.29162519664
2002,10110,350,123261.76366910487,232378.23628646645,0,355639.9999555713
2002,10110,360,186333.18758186486,224660.2416534845,0,410993.42923534935
2002,10110,370,392452.5872380641,458880.31888841937,0,851332.9061264835
2002,10110,380,338027.76606416557,426953.6462340678,0,764981.4122982334
2002,10110,390,498367.1699279564,412496.81766052166,0,910863.987588478
2002,10110,400,490927.62539512344,672393.2747212374,0,1163320.9001163607
2002,10110,410,928321.2001801291,676777.0610256846,0,1605098.2612058138
2002,10110,420,666411.474266297,719511.6009866919,0,1385923.0752529888
2002,10110,430,668535.0339327106,730243.9047424316,0,1398778.9386751421
2002,10110,440,632839.89148173,1174701.2672108933,0,1807541.1586926233
2002,10110,450,593106.8444554111,1413631.585149176,0,2006738.429604587
2002,10110,460,452598.6919306206,1646978.9894701606,0,2099577.681400781
2002,10110,470,340681.2888585727,1517368.8382263414,0,1858050.1270849141
2002,10110,480,254367.52903416168,1493678.3758423226,0,1748045.9048764843
2002,10110,490,216109.18675513033,2032072.6379070228,0,2248181.824662153
2002,10110,500,229739.30845518858,1636081.6956843,0,1865821.0041394888
2002,10110,510,90176.04836520918,1537279.856638951,0,1627455.9050041602
2002,10110,520,60153.561358385996,997820.0798882056,0,1057973.6412465917
